Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Chocolate Gold Coin,120,1.4,14,6.4,FALSE,"M,T"
Shortbread Biscuits,135,1.4,14,8,TRUE,"W,M"
Caramel Waffles,176,1.2,24,8.2,TRUE,"W,M"
Gluten Free Chocolate Brownie,263,2.9,31,14,TRUE,"E,M"
Gluten Free Fruit & Nut Bar,310,4.7,35,16,TRUE,"T"
Ballygowan Still 500ml,0,0,0,0,TRUE,""
Ballygowan Sparkling 500ml,0,0,0,0,TRUE,""
Ballygowan Sportscap 750ml,0,0,0,0,TRUE,""
VITHIT Sparkling Pink Grapefruit (330ml),11,0,1.7,0,TRUE,""
VITHIT Sparkling Raspberry & Grapefruit (330ml),11,0,2,0,TRUE,""
VITHIT Sparkling Mango & Pineapple (330ml),11,0,2,0,TRUE,""
Innocent Berry Energise Smoothie (300ml),156,1.8,36,1.5,TRUE,""
Innocent Invigorate Super Smoothie (300ml),102,1.6,40,1.2,TRUE,""
Innocent Strawberry And Raspberry Kids (150ml),75,0.75,18,0.75,TRUE,""
Innocent Orange Juice (330ml),119,2.31,25.7,0,TRUE,""
