Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Mocha Cookie Crumble Frappuccino® Blended Beverage,480,6,62,24,TRUE,
Mocha Frappuccino® Blended Beverage,370,5,54,15,TRUE,
Coffee Frappuccino® Blended Beverage,230,3,46,3,TRUE,
Vanilla Bean Crème Frappuccino® Blended Crème,380,5,53,16,TRUE,
Sugar Cookie Crème Frappuccino® Blended Beverage,330,5,43,16,TRUE,
Caramel Brulée Crème Frappuccino® Blended Beverage,380,5,54,16,TRUE,
Peppermint Mocha Crème Frappuccino® Blended Beverage,390,6,53,18,TRUE,
Peppermint White Chocolate Crème Frappuccino® Blended Beverage,400,6,54,18,TRUE,
Pumpkin Spice Crème Frappuccino® Blended Beverage,360,6,47,16,TRUE,
Strawberry Crème Frappuccino® Blended Beverage,370,5,51,16,TRUE,
Hot Chocolate,370,14,43,16,TRUE,
Peppermint Hot Chocolate,440,13,62,16,TRUE,
Peppermint White Hot Chocolate,480,13,67,18,TRUE,
Lemonade,120,0,28,0,TRUE,
Blended Strawberry Lemonade,190,0,46,0,TRUE,
Cold Milk,260,17,25,10,TRUE,
Steamed Milk,200,13,19,8,TRUE,
Vanilla Crème,350,13,44,14,TRUE,
Caramel Brulée Crème,420,13,61,14,TRUE,
Pumpkin Spice Crème,400,15,52,15,TRUE,
"Egg, Pesto & Mozzarella Sandwich",390,21,36,16,TRUE,"E,M,W"
"Bacon, Gouda & Egg Sandwich",360,18,35,18,FALSE,"E,M,W"
"Double-Smoked Bacon, Cheddar & Egg Sandwich",500,21,43,27,FALSE,"E,M,W"
"Sausage, Cheddar & Egg Sandwich",480,18,34,29,FALSE,"E,M,W"
"Turkey Bacon, Cheddar & Egg White Sandwich",230,17,28,5,FALSE,"E,M,W"
Impossible™ Breakfast Sandwich,420,21,36,22,TRUE,"E,M,S,T,W,SS"
Avocado Spread,90,1,5,8,TRUE,
"Bacon, Sausage & Egg Wrap",640,27,57,33,FALSE,"E,M,W"
